timestamp;LoadavgPercent_MIN;LoadavgPercent_MAX;LoadavgPercent_AVERAGE;ldavg-1_MIN;ldavg-1_MAX;ldavg-1_AVERAGE;ldavg-5_MIN;ldavg-5_MAX;ldavg-5_AVERAGE;ldavg-15_MIN;ldavg-15_MAX;ldavg-15_AVERAGE;runq-sz_MIN;runq-sz_MAX;runq-sz_AVERAGE;plist-sz_MIN;plist-sz_MAX;plist-sz_AVERAGE;blocked_MIN;blocked_MAX;blocked_AVERAGE
1615261740;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615261800;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615261860;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615261920;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615261980;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262040;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262100;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262160;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262220;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262280;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262340;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262400;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262460;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262520;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262580;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.96;529.96;529.96;0;0;0
1615262640;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262700;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262760;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262820;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262880;0;0;0;0;0;0;0.01;0.01;0.01;0.05;0.05;0.05;0;0;0;529.04;529.04;529.04;0;0;0
1615262940;0.11958333333;0.11958333333;0.11958333333;0.019133333333;0.019133333333;0.019133333333;0.019566666667;0.019566666667;0.019566666667;0.05;0.05;0.05;0;0;0;529.95666667;529.95666667;529.95666667;0;0;0
